record_id,doi,title,journal,record_index,source_format,source_chunk_ids,route,catalyst_class,catalyst,solvent,catalyst_smiles,catalyst_smiles_tier,solvent_smiles,solvent_smiles_tier,product,product_smiles,substrate_smiles,temperature_c,reaction_time_min,pressure_atm,catalyst_amount_g,PET_amount_g,solvent_amount_g,yield_percent,conversion_percent,selectivity_percent,judge_verdict,judge_drop_record,judge_n_fixes,judge_bad_fields,judge_critique,judge_fixes,n_citations,citations_resolve,corrected_catalyst,corrected_solvent,corrected_temperature_c,corrected_reaction_time_min,corrected_pressure_atm,corrected_catalyst_amount_g,corrected_PET_amount_g,corrected_solvent_amount_g,corrected_yield_percent,corrected_conversion_percent,corrected_selectivity_percent,corrected_fields,phase,phase_why,phase_by,structure_source,audit,catalyst_loading_wt,yield_basis,single_component,duplicate_of,quality_flags
10.1002/(sici)1097-4628(19980808)69:6<1115::aid-app8>3.0.co;2-j#0,10.1002/(sici)1097-4628(19980808)69:6<1115::aid-app8>3.0.co;2-j,Microwave irradiation as an energy source in poly(ethylene terephthalate) solvolysis,Journal of Applied Polymer Science,0,PDF,38f8f0f9-9f11-401d-944d-6b279edbe8fe;31dfa23d-e4c1-40c0-baf4-c006f89f8f6e;5c2433c2-3ca3-4b46-b6cb-3cc1dfe52216;428a871f-d682-49d2-ba37-6ab58ad9c6e8,methanolysis,metal salt,zinc acetate,methanol,CC(=O)[O-].CC(=O)[O-].[Zn+2],confirmed,CO,confirmed,DMT,COC(=O)c1ccc(C(=O)OC)cc1,*OCCOC(=O)c1ccc(C(*)=O)cc1,,4.0,,0.1,0.75,10.0,,100.0,,correct,False,0,,"The paper states a typical sample contained 0.75 g PET, 0.1 g zinc acetate, and 10.0 g methanol, and that complete PET degradation (100 % conversion) was achieved in 4 min with methanol under microwave power. No temperature or pressure values are given, and yields/selectivities are not reported. All reported fields therefore match the source.",,4,True,zinc acetate,methanol,,4.0,,0.1,0.75,10.0,,100.0,,,homogeneous,a compound class that dissolves at reaction temperature,soluble,confirmed,accepted,0.1333,,True,,
10.1002/(sici)1097-4628(19980808)69:6<1115::aid-app8>3.0.co;2-j#1,10.1002/(sici)1097-4628(19980808)69:6<1115::aid-app8>3.0.co;2-j,Microwave irradiation as an energy source in poly(ethylene terephthalate) solvolysis,Journal of Applied Polymer Science,1,PDF,38f8f0f9-9f11-401d-944d-6b279edbe8fe;31dfa23d-e4c1-40c0-baf4-c006f89f8f6e;5c2433c2-3ca3-4b46-b6cb-3cc1dfe52216;428a871f-d682-49d2-ba37-6ab58ad9c6e8,glycolysis,metal salt,zinc acetate,propylene glycol,CC(=O)[O-].CC(=O)[O-].[Zn+2],confirmed,CC(O)CO,confirmed,BHET,O=C(OCCO)c1ccc(C(=O)OCCO)cc1,*OCCOC(=O)c1ccc(C(*)=O)cc1,,6.0,,0.1,0.75,10.0,,100.0,,correct,False,0,,"The text reports the same typical sample composition (0.75 g PET, 0.1 g zinc acetate, 10.0 g propylene glycol) and that complete PET degradation (100 % conversion) occurs in 6 min with propylene glycol. No temperature, pressure, yield or selectivity values are provided, so the null entries are appropriate.",,4,True,zinc acetate,propylene glycol,,6.0,,0.1,0.75,10.0,,100.0,,,homogeneous,a compound class that dissolves at reaction temperature,soluble,confirmed,accepted,0.1333,,True,,
10.1002/(sici)1097-4628(19980808)69:6<1115::aid-app8>3.0.co;2-j#2,10.1002/(sici)1097-4628(19980808)69:6<1115::aid-app8>3.0.co;2-j,Microwave irradiation as an energy source in poly(ethylene terephthalate) solvolysis,Journal of Applied Polymer Science,2,PDF,38f8f0f9-9f11-401d-944d-6b279edbe8fe;31dfa23d-e4c1-40c0-baf4-c006f89f8f6e;5c2433c2-3ca3-4b46-b6cb-3cc1dfe52216;428a871f-d682-49d2-ba37-6ab58ad9c6e8,glycolysis,metal salt,zinc acetate,polyethylene glycol 400,CC(=O)[O-].CC(=O)[O-].[Zn+2],confirmed,,unclear,BHET,O=C(OCCO)c1ccc(C(=O)OCCO)cc1,*OCCOC(=O)c1ccc(C(*)=O)cc1,,8.0,,0.1,0.75,10.0,,81.0,,correct,False,0,,"For polyethylene glycol 400 the paper gives the standard sample composition (0.75 g PET, 0.1 g zinc acetate, 10.0 g PEG 400) and reports that 81 % of PET is consumed after 8 min. Temperature, pressure, yield and selectivity are not reported, making the null entries valid.",,4,True,zinc acetate,polyethylene glycol 400,,8.0,,0.1,0.75,10.0,,81.0,,,homogeneous,a compound class that dissolves at reaction temperature,soluble,confirmed,accepted,0.1333,,True,,
10.1002/(sici)1097-4628(19990705)73:1<35::aid-app4>3.0.co;2-w#0,10.1002/(sici)1097-4628(19990705)73:1<35::aid-app4>3.0.co;2-w,Glycolysis of poly(ethylene terephthalate),Journal of Applied Polymer Science,0,PDF,46b5e865-742a-4d18-92a6-f640065a940f;b70e0c22-ea16-4c2b-8655-32c65f654ac6,glycolysis,metal salt,zinc acetate,EG,CC(=O)[O-].CC(=O)[O-].[Zn+2],confirmed,OCCO,LLM written,BHET,O=C(OCCO)c1ccc(C(=O)OCCO)cc1,*OCCOC(=O)c1ccc(C(*)=O)cc1,190.0,600.0,1.0,0.25,50.0,65.0,,,,correct,False,0,,"The paper’s experimental section states that each run used 50 g PET oligomer, 65 g EG, 0.25 g zinc acetate (0.5 wt% of PET), at 190 °C for up to 10 h under 1 atm. No yield, conversion or selectivity values are reported, only hydroxyl numbers. All reported fields therefore match the described experiment, and the omitted outcome fields are acceptable because the paper does not provide them.",,2,True,zinc acetate,EG,190.0,600.0,1.0,0.25,50.0,65.0,,,,,homogeneous,a compound class that dissolves at reaction temperature,soluble,confirmed,accepted,0.005,,True,,
10.1002/(sici)1097-4628(19990705)73:1<35::aid-app4>3.0.co;2-w#1,10.1002/(sici)1097-4628(19990705)73:1<35::aid-app4>3.0.co;2-w,Glycolysis of poly(ethylene terephthalate),Journal of Applied Polymer Science,1,PDF,46b5e865-742a-4d18-92a6-f640065a940f;73bf2cdc-c3d1-4fba-aaab-17f335ca47cd;b70e0c22-ea16-4c2b-8655-32c65f654ac6,glycolysis,none,none,EG,,no catalyst,OCCO,LLM written,BHET,O=C(OCCO)c1ccc(C(=O)OCCO)cc1,*OCCOC(=O)c1ccc(C(*)=O)cc1,190.0,600.0,1.0,,50.0,65.0,,,,incorrect,False,1,catalyst_amount_g,"The text (chunk 73bf2cdc‑c3d1‑4fba‑aaab‑17f335ca47cd) clearly indicates a control experiment performed without any catalyst. While the record correctly notes “none” for catalyst, it leaves catalyst_amount_g null, whereas the paper implies the amount is zero. All other fields match the described control run.","[{""field"": ""catalyst_amount_g"", ""value"": 0.0, ""evidence"": ""Chunk 73bf2cdc‑c3d1‑4fba‑aaab‑17f335ca47cd states “A single run was also performed without a catalyst.”""}]",3,True,none,EG,190.0,600.0,1.0,0.0,50.0,65.0,,,,catalyst_amount_g,uncatalysed,the paper reports no catalyst,tier,no catalyst,flagged,,,True,,
10.1002/(sici)1097-4628(20000307)75:10<1221::aid-app2>3.0.co;2-w#0,10.1002/(sici)1097-4628(20000307)75:10<1221::aid-app2>3.0.co;2-w,Kinetics of diethylene glycol formation from bishydroxyethyl terephthalate with proton catalyst in the preparation of poly(ethylene terephthalate),Journal of Applied Polymer Science,0,PDF,25d3be84-f201-4381-86fc-cfe0fb284c98;94d41c23-2c20-4923-81cd-5c9dfd857b2b,glycolysis,metal salt,zinc acetate,EG,CC(=O)[O-].CC(=O)[O-].[Zn+2],confirmed,OCCO,LLM written,BHET,O=C(OCCO)c1ccc(C(=O)OCCO)cc1,*OCCOC(=O)c1ccc(C(*)=O)cc1,190.0,480.0,,,,,,,,incorrect,True,0,,"The paper only mentions zinc acetate in the context of purifying the BHET oligomer (see chunk 25d3be84-f201-4381-86fc-cfe0fb284c98). It is not presented as a catalyst for a PET glycolysis reaction, and no experimental data (PET mass, EG solvent amount, yields, conversions, etc.) are reported for such a run. Consequently, this record does not correspond to any ""this‑work"" experiment described in the article.",,2,True,zinc acetate,EG,190.0,480.0,,,,,,,,,homogeneous,a compound class that dissolves at reaction temperature,soluble,confirmed,flagged,,,True,,
10.1002/(sici)1097-4628(20000307)75:10<1229::aid-app3>3.0.co;2-5#0,10.1002/(sici)1097-4628(20000307)75:10<1229::aid-app3>3.0.co;2-5,Kinetics of diethylene glycol formation from bishydroxyethyl terephthalate with zinc catalyst in the preparation of poly(ethylene terephthalate),Journal of Applied Polymer Science,0,PDF,db2cbbd3-1342-4f9e-896b-003700fbd956;c5584ef5-4921-4cb0-b442-41c36046c405,glycolysis,metal salt,zinc acetate,EG,CC(=O)[O-].CC(=O)[O-].[Zn+2],confirmed,OCCO,LLM written,BHET,O=C(OCCO)c1ccc(C(=O)OCCO)cc1,*OCCOC(=O)c1ccc(C(*)=O)cc1,190.0,480.0,,,,,,,,correct,False,0,,"The paper describes a glycolysis step where BHET oligomer, ethylene glycol (EG) and zinc acetate catalyst are charged and heated at 190 °C for 8 h (480 min) (see chunks db2cbbd3-... and c5584ef5-...). This matches the catalyst, solvent, temperature and reaction time in the record. No quantitative masses for catalyst, PET (BHET oligomer) or solvent are reported in the text, and the paper does not give yields, conversion or selectivity for this step, so the null values are appropriate. The catalyst identity is clear (zinc acetate). Therefore the record accurately reflects the experiment as presented.",,2,True,zinc acetate,EG,190.0,480.0,,,,,,,,,homogeneous,a compound class that dissolves at reaction temperature,soluble,confirmed,accepted,,,True,,
10.1002/(sici)1099-0518(199812)36:17<3073::aid-pola8>3.0.co;2-x#0,10.1002/(sici)1099-0518(199812)36:17<3073::aid-pola8>3.0.co;2-x,The kinetics of diethylene glycol formation in the preparation of polyethylene terephthalate,Journal of Polymer Science Part A Polymer Chemistry,0,PDF,0119fc06-61f0-4ef6-8590-9b200e888d4e;a9de36c6-a4dc-45e7-be2a-21f41584a8ed,glycolysis,metal salt,zinc acetate,EG,CC(=O)[O-].CC(=O)[O-].[Zn+2],confirmed,OCCO,LLM written,BHET,O=C(OCCO)c1ccc(C(=O)OCCO)cc1,*OCCOC(=O)c1ccc(C(*)=O)cc1,190.0,480.0,,,,,,,,correct,False,0,,"The record describes the glycolysis of BHET monomer using zinc acetate catalyst in ethylene glycol at 190 °C for 8 h (480 min), which matches the procedure detailed in chunks 0119fc06-61f0-4ef6-8590-9b200e888d4e and a9de36c6-a4dc-45e7-be2a-21f41584a8ed. The paper does not provide explicit masses for catalyst, PET (not applicable), or EG, nor does it report yield, conversion, or selectivity for this experiment, so the null entries are appropriate. The catalyst and solvent are correctly identified, and the temperature and time are accurately recorded.",,2,True,zinc acetate,EG,190.0,480.0,,,,,,,,,homogeneous,a compound class that dissolves at reaction temperature,soluble,confirmed,accepted,,,True,,
10.1002/(sici)1099-1581(199910)10:10<603::aid-pat914>3.0.co;2-v#0,10.1002/(sici)1099-1581(199910)10:10<603::aid-pat914>3.0.co;2-v,Poly(ethylene terephthalate) glycolysis under microwave irradiation,Polymers for Advanced Technologies,0,PDF,b9a3ee07-1390-49a7-9279-630a74767def;0314f10b-b9c8-4977-a0d1-a63ac6707ddd;a87f9ff6-7f0e-443c-8ec4-c362e8222da4,other/unclear,metal salt,ZnAc2,DEG,CC(=O)[O-].CC(=O)[O-].[Zn+2],LLM written,OCCOCCO,LLM written,,,*OCCOC(=O)c1ccc(C(*)=O)cc1,240.0,5.0,,0.005,1.0,5.0,,100.0,,correct,False,0,,"The paper states that using DEG as solvent the maximum temperature reached was approx. 240 °C and that complete PET solubilisation (100 % conversion) was achieved within the 5 min, 500 W microwave run (see Fig. 1, chunk a87f9ff6-7f0e-443c-8ec4-c362e8222da4). The typical reaction mixture is 1 g PET, 0.005 g ZnAc₂ (0.5 wt %) and 5 g DEG (chunks b9a3ee07-1390-49a7-9279-630a74767def, 0314f10b-b9c8-4977-a0d1-a63ac6707ddd). All values match the report.",,3,True,ZnAc2,DEG,240.0,5.0,,0.005,1.0,5.0,,100.0,,,homogeneous,a compound class that dissolves at reaction temperature,soluble,LLM written,accepted,0.005,,True,,
10.1002/(sici)1099-1581(199910)10:10<603::aid-pat914>3.0.co;2-v#1,10.1002/(sici)1099-1581(199910)10:10<603::aid-pat914>3.0.co;2-v,Poly(ethylene terephthalate) glycolysis under microwave irradiation,Polymers for Advanced Technologies,1,PDF,b9a3ee07-1390-49a7-9279-630a74767def;0314f10b-b9c8-4977-a0d1-a63ac6707ddd;a87f9ff6-7f0e-443c-8ec4-c362e8222da4,other/unclear,metal salt,ZnAc2,PG,CC(=O)[O-].CC(=O)[O-].[Zn+2],LLM written,CC(O)CO,LLM written,,,*OCCOC(=O)c1ccc(C(*)=O)cc1,200.0,5.0,,0.005,1.0,5.0,,100.0,,correct,False,0,,"For PG the paper reports a maximum temperature of approx. 200 °C and complete PET conversion after 5 min of 500 W irradiation (Fig. 1, chunk a87f9ff6-7f0e-443c-8ec4-c362e8222da4). The reaction composition (1 g PET, 0.005 g ZnAc₂, 5 g PG) is given in the experimental description (chunks b9a3ee07-1390-49a7-9279-630a74767def, 0314f10b-b9c8-4977-a0d1-a63ac6707ddd). All fields are consistent.",,3,True,ZnAc2,PG,200.0,5.0,,0.005,1.0,5.0,,100.0,,,homogeneous,a compound class that dissolves at reaction temperature,soluble,LLM written,accepted,0.005,,True,,
10.1002/(sici)1099-1581(199910)10:10<603::aid-pat914>3.0.co;2-v#2,10.1002/(sici)1099-1581(199910)10:10<603::aid-pat914>3.0.co;2-v,Poly(ethylene terephthalate) glycolysis under microwave irradiation,Polymers for Advanced Technologies,2,PDF,b9a3ee07-1390-49a7-9279-630a74767def;2e7f6b21-f4a6-4ce7-8131-5030a38be798,other/unclear,metal salt,ZnAc2,DEG,CC(=O)[O-].CC(=O)[O-].[Zn+2],LLM written,OCCOCCO,LLM written,,,*OCCOC(=O)c1ccc(C(*)=O)cc1,150.0,5.0,,0.005,1.0,5.0,,11.0,,correct,False,0,,"The temperature‑variation experiments report that at a set temperature of 150 °C only 11 % of PET was solubilised (conversion ≈ 11 %) (chunk 2e7f6b21-f4a6-4ce7-8131-5030a38be798). The reaction conditions (1 g PET, 0.005 g ZnAc₂, 5 g DEG, 5 min) are the standard ones (chunks b9a3ee07-1390-49a7-9279-630a74767def). Values are consistent.",,2,True,ZnAc2,DEG,150.0,5.0,,0.005,1.0,5.0,,11.0,,,homogeneous,a compound class that dissolves at reaction temperature,soluble,LLM written,accepted,0.005,,True,,
10.1002/(sici)1099-1581(199910)10:10<603::aid-pat914>3.0.co;2-v#3,10.1002/(sici)1099-1581(199910)10:10<603::aid-pat914>3.0.co;2-v,Poly(ethylene terephthalate) glycolysis under microwave irradiation,Polymers for Advanced Technologies,3,PDF,b9a3ee07-1390-49a7-9279-630a74767def;2e7f6b21-f4a6-4ce7-8131-5030a38be798,other/unclear,metal salt,ZnAc2,DEG,CC(=O)[O-].CC(=O)[O-].[Zn+2],LLM written,OCCOCCO,LLM written,,,*OCCOC(=O)c1ccc(C(*)=O)cc1,200.0,5.0,,0.005,1.0,5.0,,100.0,,correct,False,0,,"At a set temperature of 200 °C the paper shows complete PET conversion (100 %) after 5 min with DEG (same passage as above, chunk 2e7f6b21-f4a6-4ce7-8131-5030a38be798). Reaction composition matches the standard mixture. All fields agree with the text.",,2,True,ZnAc2,DEG,200.0,5.0,,0.005,1.0,5.0,,100.0,,,homogeneous,a compound class that dissolves at reaction temperature,soluble,LLM written,accepted,0.005,,True,,
